X X-Ray Coordinate,Y X-Ray Coordinate,Z X-Ray Coordinate,X Pixel Index,Y Pixel Index,Charge Fraction
-10,0,0,0,0,0
-10,0,1,0,0,7.95059e-05
-10,0,2,0,0,0.000157054
-10,0,3,0,0,0.000230735
-10,0,4,0,0,0.000298735
-10,0,5,0,0,0.000359378
-10,0,6,0,0,0.000411173
-10,0,7,0,0,0.000452843
-10,0,8,0,0,0.000483363
-10,0,9,0,0,0.000501981
-10,0,10,0,0,0.000508238
-10,1,0,0,0,0
-10,1,1,0,0,6.94169e-05
-10,1,2,0,0,0.000137125
-10,1,3,0,0,0.000201456
-10,1,4,0,0,0.000260826
-10,1,5,0,0,0.000313775
-10,1,6,0,0,0.000358997
-10,1,7,0,0,0.000395379
-10,1,8,0,0,0.000422026
-10,1,9,0,0,0.000438281
-10,1,10,0,0,0.000443745
-10,2,0,0,0,0
-10,2,1,0,0,6.05387e-05
-10,2,2,0,0,0.000119587
-10,2,3,0,0,0.00017569
-10,2,4,0,0,0.000227467
-10,2,5,0,0,0.000273644
-10,2,6,0,0,0.000313082
-10,2,7,0,0,0.000344811
-10,2,8,0,0,0.00036805
-10,2,9,0,0,0.000382226
-10,2,10,0,0,0.000386991
-10,3,0,0,0,0
-10,3,1,0,0,5.27376e-05
-10,3,2,0,0,0.000104177
-10,3,3,0,0,0.00015305
-10,3,4,0,0,0.000198156
-10,3,5,0,0,0.000238382
-10,3,6,0,0,0.000272738
-10,3,7,0,0,0.000300378
-10,3,8,0,0,0.000320623
-10,3,9,0,0,0.000332972
-10,3,10,0,0,0.000337123
-10,4,0,0,0,0
-10,4,1,0,0,4.58928e-05
-10,4,2,0,0,9.06556e-05
-10,4,3,0,0,0.000133186
-10,4,4,0,0,0.000172437
-10,4,5,0,0,0.000207442
-10,4,6,0,0,0.000237339
-10,4,7,0,0,0.000261393
-10,4,8,0,0,0.000279009
-10,4,9,0,0,0.000289756
-10,4,10,0,0,0.000293368
-10,5,0,0,0,0
-10,5,1,0,0,3.98952e-05
-10,5,2,0,0,7.88081e-05
-10,5,3,0,0,0.00011578
-10,5,4,0,0,0.000149902
-10,5,5,0,0,0.000180332
-10,5,6,0,0,0.000206322
-10,5,7,0,0,0.000227232
-10,5,8,0,0,0.000242546
-10,5,9,0,0,0.000251889
-10,5,10,0,0,0.000255028
-10,6,0,0,0,0
-10,6,1,0,0,3.46468e-05
-10,6,2,0,0,6.84404e-05
-10,6,3,0,0,0.000100549
-10,6,4,0,0,0.000130181
-10,6,5,0,0,0.000156609
-10,6,6,0,0,0.000179179
-10,6,7,0,0,0.000197338
-10,6,8,0,0,0.000210638
