X X-Ray Coordinate,Y X-Ray Coordinate,Z X-Ray Coordinate,X Pixel Index,Y Pixel Index,Charge Fraction
0,0,0,0,0,0
0,0,1,0,0,1.87603e-07
0,0,2,0,0,3.70586e-07
0,0,3,0,0,5.44444e-07
0,0,4,0,0,7.04896e-07
0,0,5,0,0,8.47991e-07
0,0,6,0,0,9.70206e-07
0,0,7,0,0,1.06853e-06
0,0,8,0,0,1.14055e-06
0,0,9,0,0,1.18448e-06
0,0,10,0,0,1.19924e-06
0,1,0,0,0,0
0,1,1,0,0,1.64398e-07
0,1,2,0,0,3.24749e-07
0,1,3,0,0,4.77103e-07
0,1,4,0,0,6.17709e-07
0,1,5,0,0,7.43105e-07
0,1,6,0,0,8.50203e-07
0,1,7,0,0,9.36367e-07
0,1,8,0,0,9.99474e-07
0,1,9,0,0,1.03797e-06
0,1,10,0,0,1.05091e-06
0,2,0,0,0,0
0,2,1,0,0,1.43828e-07
0,2,2,0,0,2.84114e-07
0,2,3,0,0,4.17405e-07
0,2,4,0,0,5.40417e-07
0,2,5,0,0,6.50123e-07
0,2,6,0,0,7.43821e-07
0,2,7,0,0,8.19203e-07
0,2,8,0,0,8.74414e-07
0,2,9,0,0,9.08093e-07
0,2,10,0,0,9.19413e-07
0,3,0,0,0,0
0,3,1,0,0,1.25625e-07
0,3,2,0,0,2.48157e-07
0,3,3,0,0,3.64578e-07
0,3,4,0,0,4.72022e-07
0,3,5,0,0,5.67844e-07
0,3,6,0,0,6.49683e-07
0,3,7,0,0,7.15525e-07
0,3,8,0,0,7.63748e-07
0,3,9,0,0,7.93165e-07
0,3,10,0,0,8.03052e-07
0,4,0,0,0,0
0,4,1,0,0,1.09546e-07
0,4,2,0,0,2.16395e-07
0,4,3,0,0,3.17916e-07
0,4,4,0,0,4.11608e-07
0,4,5,0,0,4.95165e-07
0,4,6,0,0,5.6653e-07
0,4,7,0,0,6.23945e-07
0,4,8,0,0,6.65996e-07
0,4,9,0,0,6.91648e-07
0,4,10,0,0,7.0027e-07
0,5,0,0,0,0
0,5,1,0,0,9.53693e-08
0,5,2,0,0,1.8839e-07
0,5,3,0,0,2.76772e-07
0,5,4,0,0,3.58339e-07
0,5,5,0,0,4.31083e-07
0,5,6,0,0,4.93212e-07
0,5,7,0,0,5.43196e-07
0,5,8,0,0,5.79805e-07
0,5,9,0,0,6.02138e-07
0,5,10,0,0,6.09643e-07
0,6,0,0,0,0
0,6,1,0,0,8.28912e-08
0,6,2,0,0,1.63741e-07
0,6,3,0,0,2.40559e-07
0,6,4,0,0,3.11454e-07
0,6,5,0,0,3.7468e-07
0,6,6,0,0,4.2868e-07
0,6,7,0,0,4.72125e-07
0,6,8,0,0,5.03944e-07
0,6,9,0,0,5.23354e-07
0,6,10,0,0,5.29878e-07
0,7,0,0,0,0
0,7,1,0,0,7.19279e-08
0,7,2,0,0,1.42085e-07
0,7,3,0,0,2.08743e-07
0,7,4,0,0,2.70261e-07
0,7,5,0,0,3.25124e-07
0,7,6,0,0,3.71982e-07
0,7,7,0,0,4.09681e-07
0,7,8,0,0,4.37291e-07
0,7,9,0,0,4.54135e-07
0,7,10,0,0,4.59795e-07
0,8,0,0,0,0
0,8,1,0,0,6.23125e-08
0,8,2,0,0,1.23091e-07
0,8,3,0,0,1.80838e-07
0,8,4,0,0,2.34132e-07
0,8,5,0,0,2.81661e-07
0,8,6,0,0,3.22255e-07
0,8,7,0,0,3.54914e-07
0,8,8,0,0,3.78834e-07
0,8,9,0,0,3.93425e-07
0,8,10,0,0,3.98329e-07
0,9,0,0,0,0
0,9,1,0,0,5.3894e-08
0,9,2,0,0,1.06461e-07
0,9,3,0,0,1.56407e-07
0,9,4,0,0,2.02501e-07
0,9,5,0,0,2.43609e-07
0,9,6,0,0,2.78719e-07
0,9,7,0,0,3.06965e-07
0,9,8,0,0,3.27653e-07
0,9,9,0,0,3.40274e-07
0,9,10,0,0,3.44515e-07
0,10,0,0,0,0
0,10,1,0,0,4.65366e-08
0,10,2,0,0,9.19272e-08
0,10,3,0,0,1.35054e-07
0,10,4,0,0,1.74856e-07
0,10,5,0,0,2.10352e-07
0,10,6,0,0,2.40669e-07
0,10,7,0,0,2.65059e-07
0,10,8,0,0,2.82923e-07
0,10,9,0,0,2.9382e-07
0,10,10,0,0,2.97483e-07
1,0,0,0,0,0
1,0,1,0,0,1.64398e-07
1,0,2,0,0,3.24749e-07
1,0,3,0,0,4.77103e-07
1,0,4,0,0,6.17709e-07
1,0,5,0,0,7.43105e-07
1,0,6,0,0,8.50203e-07
1,0,7,0,0,9.36367e-07
1,0,8,0,0,9.99474e-07
1,0,9,0,0,1.03797e-06
1,0,10,0,0,1.05091e-06
1,1,0,0,0,0
1,1,1,0,0,1.44145e-07
1,1,2,0,0,2.84741e-07
